Date,State/UnionTerritory,Cured,Deaths,Confirmed
30/01/20,Kerala,0,0,1
31/01/20,Kerala,0,0,1
01/02/20,Kerala,0,0,2
02/02/20,Kerala,0,0,3
03/02/20,Kerala,0,0,3
04/02/20,Kerala,0,0,3
05/02/20,Kerala,0,0,3
06/02/20,Kerala,0,0,3
07/02/20,Kerala,0,0,3
08/02/20,Kerala,0,0,3
09/02/20,Kerala,0,0,3
10/02/20,Kerala,0,0,3
11/02/20,Kerala,0,0,3
12/02/20,Kerala,0,0,3
13/02/20,Kerala,0,0,3
14/02/20,Kerala,0,0,3
15/02/20,Kerala,0,0,3
16/02/20,Kerala,0,0,3
17/02/20,Kerala,0,0,3
18/02/20,Kerala,0,0,3
19/02/20,Kerala,0,0,3
20/02/20,Kerala,0,0,3
21/02/20,Kerala,0,0,3
22/02/20,Kerala,0,0,3
23/02/20,Kerala,0,0,3
24/02/20,Kerala,0,0,3
25/02/20,Kerala,0,0,3
26/02/20,Kerala,0,0,3
27/02/20,Kerala,0,0,3
28/02/20,Kerala,0,0,3
29/02/20,Kerala,0,0,3
01/03/20,Kerala,0,0,3
02/03/20,Telengana,0,0,1
02/03/20,Kerala,0,0,3
02/03/20,Delhi,0,0,1
03/03/20,Telengana,0,0,1
03/03/20,Rajasthan,0,0,1
03/03/20,Kerala,3,0,3
03/03/20,Delhi,0,0,1
04/03/20,Uttar Pradesh,0,0,6
04/03/20,Kerala,3,0,3
04/03/20,Haryana,0,0,2
04/03/20,Delhi,0,0,1
04/03/20,Telengana,0,0,1
04/03/20,Rajasthan,0,0,15
05/03/20,Delhi,0,0,2
05/03/20,Haryana,0,0,2
05/03/20,Kerala,3,0,3
05/03/20,Rajasthan,0,0,15
05/03/20,Telengana,0,0,1
05/03/20,Uttar Pradesh,0,0,7
06/03/20,Delhi,0,0,3
06/03/20,Haryana,0,0,2
06/03/20,Kerala,3,0,3
06/03/20,Rajasthan,0,0,15
06/03/20,Uttar Pradesh,0,0,7
06/03/20,Telengana,0,0,1
07/03/20,Kerala,3,0,3
07/03/20,Uttar Pradesh,0,0,7
07/03/20,Ladakh,0,0,2
07/03/20,Telengana,0,0,1
07/03/20,Tamil Nadu,0,0,1
07/03/20,Delhi,0,0,3
07/03/20,Haryana,0,0,2
07/03/20,Rajasthan,0,0,15
08/03/20,Ladakh,0,0,2
08/03/20,Telengana,0,0,1
08/03/20,Tamil Nadu,0,0,1
08/03/20,Rajasthan,0,0,15
08/03/20,Kerala,3,0,8
08/03/20,Haryana,0,0,2
08/03/20,Delhi,0,0,3
08/03/20,Uttar Pradesh,0,0,7
09/03/20,Ladakh,0,0,2
09/03/20,Karnataka,0,0,1
09/03/20,Kerala,3,0,9
09/03/20,Maharashtra,0,0,2
09/03/20,Punjab,0,0,1
09/03/20,Rajasthan,0,0,15
09/03/20,Tamil Nadu,0,0,1
09/03/20,Telengana,0,0,1
09/03/20,Jammu and Kashmir,0,0,1
09/03/20,Uttar Pradesh,0,0,7
09/03/20,Haryana,0,0,2
09/03/20,Delhi,0,0,4
10/03/20,Uttar Pradesh,0,0,7
10/03/20,Ladakh,0,0,2
10/03/20,Delhi,0,0,4
10/03/20,Haryana,0,0,2
10/03/20,Karnataka,0,0,4
10/03/20,Kerala,3,0,15
10/03/20,Maharashtra,0,0,5
10/03/20,Punjab,0,0,1
10/03/20,Rajasthan,0,0,15
10/03/20,Tamil Nadu,0,0,1
10/03/20,Telengana,0,0,1
10/03/20,Jammu and Kashmir,0,0,1
11/03/20,Maharashtra,0,0,2
11/03/20,Delhi,0,0,5
11/03/20,Haryana,0,0,14
11/03/20,Kerala,3,0,17
11/03/20,Rajasthan,0,0,3
11/03/20,Telengana,0,0,1
11/03/20,Uttar Pradesh,0,0,9
11/03/20,Ladakh,0,0,2
11/03/20,Tamil Nadu,0,0,1
11/03/20,Jammu and Kashmir,0,0,1
11/03/20,Punjab,0,0,1
11/03/20,Karnataka,0,0,4
12/03/20,Delhi,0,0,6
12/03/20,Haryana,0,0,14
12/03/20,Kerala,3,0,17
12/03/20,Rajasthan,0,0,3
12/03/20,Telengana,0,0,1
12/03/20,Uttar Pradesh,0,0,11
12/03/20,Ladakh,0,0,3
12/03/20,Tamil Nadu,0,0,1
12/03/20,Jammu and Kashmir,0,0,1
12/03/20,Punjab,0,0,1
12/03/20,Karnataka,0,0,4
12/03/20,Maharashtra,0,0,11
12/03/20,Andhra Pradesh,0,0,1
13/03/20,Delhi,0,0,6
13/03/20,Haryana,0,0,14
13/03/20,Kerala,3,0,19
13/03/20,Rajasthan,0,0,3
13/03/20,Telengana,0,0,1
13/03/20,Uttar Pradesh,0,0,11
13/03/20,Ladakh,0,0,3
13/03/20,Tamil Nadu,0,0,1
13/03/20,Jammu and Kashmir,0,0,1
13/03/20,Punjab,0,0,1
13/03/20,Karnataka,0,1,6
13/03/20,Maharashtra,0,0,14
13/03/20,Andhra Pradesh,0,0,1
14/03/20,Delhi,1,1,7
14/03/20,Haryana,0,0,14
14/03/20,Kerala,3,0,19
14/03/20,Rajasthan,1,0,3
14/03/20,Telengana,0,0,1
14/03/20,Uttar Pradesh,5,0,12
14/03/20,Ladakh,0,0,3
14/03/20,Tamil Nadu,0,0,1
14/03/20,Jammu and Kashmir,0,0,2
14/03/20,Punjab,0,0,1
14/03/20,Karnataka,0,1,6
14/03/20,Maharashtra,0,0,14
14/03/20,Andhra Pradesh,0,0,1
15/03/20,Andhra Pradesh,0,0,1
15/03/20,Delhi,2,1,7
15/03/20,Haryana,0,0,14
15/03/20,Karnataka,0,1,6
15/03/20,Kerala,3,0,22
15/03/20,Maharashtra,0,0,32
15/03/20,Punjab,0,0,1
15/03/20,Rajasthan,3,0,4
15/03/20,Tamil Nadu,0,0,1
15/03/20,Telengana,1,0,3
15/03/20,Jammu and Kashmir,0,0,2
15/03/20,Ladakh,0,0,3
15/03/20,Uttar Pradesh,4,0,13
15/03/20,Uttarakhand,0,0,1
16/03/20,Andhra Pradesh,0,0,1
16/03/20,Delhi,2,1,7
16/03/20,Haryana,0,0,14
16/03/20,Karnataka,0,1,6
16/03/20,Kerala,3,0,23
16/03/20,Maharashtra,0,0,32
16/03/20,Odisha,0,0,1
16/03/20,Punjab,0,0,1
16/03/20,Rajasthan,3,0,4
16/03/20,Tamil Nadu,0,0,1
16/03/20,Telengana,1,0,3
16/03/20,Jammu and Kashmir,0,0,3
16/03/20,Ladakh,0,0,4
16/03/20,Uttar Pradesh,4,0,13
16/03/20,Uttarakhand,0,0,1
17/03/20,Andhra Pradesh,0,0,1
17/03/20,Delhi,2,1,8
17/03/20,Haryana,0,0,15
17/03/20,Karnataka,0,1,11
17/03/20,Kerala,3,0,26
17/03/20,Maharashtra,0,1,39
17/03/20,Odisha,0,0,1
17/03/20,Punjab,0,0,1
17/03/20,Rajasthan,3,0,4
17/03/20,Tamil Nadu,0,0,1
17/03/20,Telengana,1,0,5
17/03/20,Jammu and Kashmir,0,0,3
17/03/20,Ladakh,0,0,6
17/03/20,Uttar Pradesh,5,0,15
17/03/20,Uttarakhand,0,0,1
18/03/20,Andhra Pradesh,0,0,1
18/03/20,Delhi,2,1,10
18/03/20,Haryana,0,0,17
18/03/20,Karnataka,0,1,11
18/03/20,Kerala,3,0,27
18/03/20,Maharashtra,0,1,42
18/03/20,Odisha,0,0,1
18/03/20,Puducherry,0,0,1
18/03/20,Punjab,0,0,1
18/03/20,Rajasthan,3,0,4
18/03/20,Tamil Nadu,0,0,1
18/03/20,Telengana,1,0,6
18/03/20,Jammu and Kashmir,0,0,3
18/03/20,Ladakh,0,0,8
18/03/20,Uttar Pradesh,5,0,16
18/03/20,Uttarakhand,0,0,1
18/03/20,West Bengal,0,0,1
19/03/20,Andhra Pradesh,0,0,2
19/03/20,Chhattisgarh,0,0,1
19/03/20,Delhi,3,1,12
19/03/20,Haryana,0,0,17
19/03/20,Karnataka,0,1,14
19/03/20,Kerala,3,0,27
